song,artist,album_name,album_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,id,uri,uri,track_href,time_signature,song,artist,album_name,album_id,duration_ms,duration_ms,explicit,popularity
Your Love Makes Me Depressed,CORBAL,Love Is the Same as Sadness,4JcORch57yBGLItxgest7E,0.653,0.548,10.0,-14.867,0.0,0.572,0.828,0.319,0.333,0.546,180.021,78zh3AbERVLBFEYVJQw2uG,78zh3AbERVLBFEYVJQw2uG,spotify:track:78zh3AbERVLBFEYVJQw2uG,spotify:track:78zh3AbERVLBFEYVJQw2uG,https://api.spotify.com/v1/tracks/78zh3AbERVLBFEYVJQw2uG,4.0,Your Love Makes Me Depressed,CORBAL,Love Is the Same as Sadness,4JcORch57yBGLItxgest7E,90680.0,90680,False,54
Cobra,AvAlanche,Rock The World & 7 Years Volume 3,4nX86BwhKzDMF9uIuRGnvN,0.638,0.901,5.0,-3.146,0.0,0.101,0.00126,0.00655,0.956,0.491,127.955,1QCC5uh6dsGJbhACS0nysm,1QCC5uh6dsGJbhACS0nysm,spotify:track:1QCC5uh6dsGJbhACS0nysm,spotify:track:1QCC5uh6dsGJbhACS0nysm,https://api.spotify.com/v1/tracks/1QCC5uh6dsGJbhACS0nysm,4.0,Cobra,AvAlanche,Rock The World & 7 Years Volume 3,4nX86BwhKzDMF9uIuRGnvN,277500.0,277500,False,16
so low,GenriX,"unfortunately yours,",1fm7CNqCCdnqOoxdb23VTs,0.7,0.435,10.0,-10.333,1.0,0.323,0.741,0.0,0.26,0.303,93.646,1W9mO8lVFD2AhsIRwwMQ8r,1W9mO8lVFD2AhsIRwwMQ8r,spotify:track:1W9mO8lVFD2AhsIRwwMQ8r,spotify:track:1W9mO8lVFD2AhsIRwwMQ8r,https://api.spotify.com/v1/tracks/1W9mO8lVFD2AhsIRwwMQ8r,4.0,so low,GenriX,"unfortunately yours,",1fm7CNqCCdnqOoxdb23VTs,209187.0,209187,False,53
A Coral Tomb,Ahab,The Coral Tombs,39B7kEOSeAcoQBCgNgp2Wx,0.448,0.207,5.0,-16.959,0.0,0.0317,0.0524,0.857,0.0985,0.0613,75.953,64ooQr0NIV77FedYQ3twmQ,64ooQr0NIV77FedYQ3twmQ,spotify:track:64ooQr0NIV77FedYQ3twmQ,spotify:track:64ooQr0NIV77FedYQ3twmQ,https://api.spotify.com/v1/tracks/64ooQr0NIV77FedYQ3twmQ,3.0,A Coral Tomb,Ahab,The Coral Tombs,39B7kEOSeAcoQBCgNgp2Wx,610799.0,610798,False,23
Karma,Corbian,Karma,0RSJxCGpfukbrh1TIQvzF3,0.518,0.876,0.0,-11.755,0.0,0.0831,7.67e-05,0.185,0.375,0.114,111.521,4FTO5BpyszjbupaDtxb7OJ,4FTO5BpyszjbupaDtxb7OJ,spotify:track:4FTO5BpyszjbupaDtxb7OJ,spotify:track:4FTO5BpyszjbupaDtxb7OJ,https://api.spotify.com/v1/tracks/4FTO5BpyszjbupaDtxb7OJ,4.0,Karma,Corbian,Karma,0RSJxCGpfukbrh1TIQvzF3,166547.0,166547,True,20
you're just playing with my heart,itssvd,tape for when i'm sad,1EeYJrmjXcqx5PCZWu6WV1,0.693,0.246,5.0,-13.043,1.0,0.0366,0.442,0.245,0.368,0.95,87.309,6SeLoWWVcDscTzOBpXAg5g,6SeLoWWVcDscTzOBpXAg5g,spotify:track:6SeLoWWVcDscTzOBpXAg5g,spotify:track:6SeLoWWVcDscTzOBpXAg5g,https://api.spotify.com/v1/tracks/6SeLoWWVcDscTzOBpXAg5g,4.0,you're just playing with my heart,itssvd,tape for when i'm sad,1EeYJrmjXcqx5PCZWu6WV1,77352.0,77351,False,46
Coral,Estiva,Spectacle,6TABqazLHONbP5kyTWIFW1,0.62,0.946,4.0,-4.314,0.0,0.043,0.0118,0.932,0.214,0.0766,124.015,0Od1Pu31s84HaRLkds38FY,0Od1Pu31s84HaRLkds38FY,spotify:track:0Od1Pu31s84HaRLkds38FY,spotify:track:0Od1Pu31s84HaRLkds38FY,https://api.spotify.com/v1/tracks/0Od1Pu31s84HaRLkds38FY,4.0,Coral,Estiva,Spectacle,6TABqazLHONbP5kyTWIFW1,207140.0,207140,False,16
beatin' of your heart,GenriX,"unfortunately yours,",1fm7CNqCCdnqOoxdb23VTs,0.795,0.374,0.0,-9.615,0.0,0.0393,0.648,0.0,0.138,0.521,125.057,5I3WP6W4IELELrtVIphOWD,5I3WP6W4IELELrtVIphOWD,spotify:track:5I3WP6W4IELELrtVIphOWD,spotify:track:5I3WP6W4IELELrtVIphOWD,https://api.spotify.com/v1/tracks/5I3WP6W4IELELrtVIphOWD,4.0,beatin' of your heart,GenriX,"unfortunately yours,",1fm7CNqCCdnqOoxdb23VTs,238803.0,238803,False,44
Crumble,Coral Grief,Coral Grief,5PvccX6eD2hSivifnP2diU,0.568,0.485,11.0,-9.1,1.0,0.0273,0.0696,0.934,0.151,0.299,107.006,02xtwGdfLUXpsnbvGAGjmJ,02xtwGdfLUXpsnbvGAGjmJ,spotify:track:02xtwGdfLUXpsnbvGAGjmJ,spotify:track:02xtwGdfLUXpsnbvGAGjmJ,https://api.spotify.com/v1/tracks/02xtwGdfLUXpsnbvGAGjmJ,4.0,Crumble,Coral Grief,Coral Grief,5PvccX6eD2hSivifnP2diU,264233.0,264233,False,13
"I Fall in Love, I'm Sorry",CORBAL,Love Is the Same as Sadness,4JcORch57yBGLItxgest7E,0.5,0.358,4.0,-15.038,0.0,0.19,0.868,0.0201,0.194,0.237,103.48,6cOEledUFN9GpxUksuCH93,6cOEledUFN9GpxUksuCH93,spotify:track:6cOEledUFN9GpxUksuCH93,spotify:track:6cOEledUFN9GpxUksuCH93,https://api.spotify.com/v1/tracks/6cOEledUFN9GpxUksuCH93,5.0,"I Fall in Love, I'm Sorry",CORBAL,Love Is the Same as Sadness,4JcORch57yBGLItxgest7E,86002.0,86001,False,45
La Guitarre Royalle: Fanfare,Francesco Corbetta,Corbetta / Visee: Suites for Guitars and Theorbos,5MlREUepW1ViAdel0hTFTM,0.638,0.0399,11.0,-27.112,1.0,0.0421,0.993,0.93,0.0943,0.395,109.724,6VQCFhAfkSLIxQrXdYEni7,6VQCFhAfkSLIxQrXdYEni7,spotify:track:6VQCFhAfkSLIxQrXdYEni7,spotify:track:6VQCFhAfkSLIxQrXdYEni7,https://api.spotify.com/v1/tracks/6VQCFhAfkSLIxQrXdYEni7,3.0,La Guitarre Royalle: Fanfare,Francesco Corbetta,Corbetta / Visee: Suites for Guitars and Theorbos,5MlREUepW1ViAdel0hTFTM,64587.0,64586,False,18
