song,artist,album_name,album_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,id,uri,uri,track_href,time_signature,song,artist,album_name,album_id,duration_ms,duration_ms,explicit,popularity
Miguel,K3dahound,Miguel,5KmMWmtNRbz8KMGdmrCLQn,0.545,0.44,8,-16.356,1,0.408,0.024,0.0,0.138,0.499,90.417,4rOHQcCMucdDaGvqsAnKtY,4rOHQcCMucdDaGvqsAnKtY,spotify:track:4rOHQcCMucdDaGvqsAnKtY,spotify:track:4rOHQcCMucdDaGvqsAnKtY,https://api.spotify.com/v1/tracks/4rOHQcCMucdDaGvqsAnKtY,4,Miguel,K3dahound,Miguel,5KmMWmtNRbz8KMGdmrCLQn,149352,149351,True,12
Don't Forget My Love,Diplo,Diplo,5pdR4YX2zWMXotdF034UYY,0.638,0.875,2,-6.222,1,0.0413,0.0239,0.0149,0.119,0.251,121.035,22pjmqZq2oTZtEThEt66Zn,22pjmqZq2oTZtEThEt66Zn,spotify:track:22pjmqZq2oTZtEThEt66Zn,spotify:track:22pjmqZq2oTZtEThEt66Zn,https://api.spotify.com/v1/tracks/22pjmqZq2oTZtEThEt66Zn,4,Don't Forget My Love,Diplo,Diplo,5pdR4YX2zWMXotdF034UYY,199091,199090,False,62
Pussy is Mine,Miguel,Kaleidoscope Dream,21XMv0TCsnhWPt7MNVvkzD,0.717,0.109,2,-16.159,1,0.0642,0.745,0.0,0.495,0.289,130.397,0tmQ3hHXa8MGwUKUm6rAyF,0tmQ3hHXa8MGwUKUm6rAyF,spotify:track:0tmQ3hHXa8MGwUKUm6rAyF,spotify:track:0tmQ3hHXa8MGwUKUm6rAyF,https://api.spotify.com/v1/tracks/0tmQ3hHXa8MGwUKUm6rAyF,4,Pussy is Mine,Miguel,Kaleidoscope Dream,21XMv0TCsnhWPt7MNVvkzD,173200,173200,True,49
NWA (feat. Kurupt),Miguel,Wildheart (Deluxe Version),6W8ZsoinSMViZMh9aYK7gQ,0.759,0.498,11,-7.756,0,0.0367,0.00796,0.0014,0.371,0.524,92.995,1yo5POfHJT1LASjQlsvF0Q,1yo5POfHJT1LASjQlsvF0Q,spotify:track:1yo5POfHJT1LASjQlsvF0Q,spotify:track:1yo5POfHJT1LASjQlsvF0Q,https://api.spotify.com/v1/tracks/1yo5POfHJT1LASjQlsvF0Q,4,NWA (feat. Kurupt),Miguel,Wildheart (Deluxe Version),6W8ZsoinSMViZMh9aYK7gQ,214093,214093,True,32
Funeral,Miguel,Art Dealer Chic 4,0HjWJuW1StzouaOWndsxt9,0.757,0.313,9,-10.011,1,0.0571,0.0427,0.0202,0.15,0.152,95.975,1nEmf9nzeRDWQEb6tb6EKZ,1nEmf9nzeRDWQEb6tb6EKZ,spotify:track:1nEmf9nzeRDWQEb6tb6EKZ,spotify:track:1nEmf9nzeRDWQEb6tb6EKZ,https://api.spotify.com/v1/tracks/1nEmf9nzeRDWQEb6tb6EKZ,4,Funeral,Miguel,Art Dealer Chic 4,0HjWJuW1StzouaOWndsxt9,134880,134880,True,29
coffee,Miguel,Wildheart,6b5WANFyoXhaMTXPqLF6ez,0.556,0.618,10,-7.471,0,0.0463,0.00558,0.000351,0.153,0.121,80.985,28wmzW39UTv4iYCKKkhIQP,28wmzW39UTv4iYCKKkhIQP,spotify:track:28wmzW39UTv4iYCKKkhIQP,spotify:track:28wmzW39UTv4iYCKKkhIQP,https://api.spotify.com/v1/tracks/28wmzW39UTv4iYCKKkhIQP,4,coffee,Miguel,Wildheart,6b5WANFyoXhaMTXPqLF6ez,286573,286573,True,59
Gravity,Miguel,Art Dealer Chic 1,5K0pMPbgEQQYLK2aqmddAm,0.606,0.551,0,-5.671,1,0.0403,0.0078,0.0,0.233,0.271,89.011,422BAl8lh1uzkT7ts74d7J,422BAl8lh1uzkT7ts74d7J,spotify:track:422BAl8lh1uzkT7ts74d7J,spotify:track:422BAl8lh1uzkT7ts74d7J,https://api.spotify.com/v1/tracks/422BAl8lh1uzkT7ts74d7J,4,Gravity,Miguel,Art Dealer Chic 1,5K0pMPbgEQQYLK2aqmddAm,219322,219322,False,30
Remember Me (Dúo),Miguel,Coco (Original Motion Picture Soundtrack),7nMexBA71PdwPnfqS5Yji5,0.611,0.553,0,-6.681,1,0.0328,0.415,0.0,0.497,0.573,84.996,3pCgIUkmRHKydu9HE03QKY,3pCgIUkmRHKydu9HE03QKY,spotify:track:3pCgIUkmRHKydu9HE03QKY,spotify:track:3pCgIUkmRHKydu9HE03QKY,https://api.spotify.com/v1/tracks/3pCgIUkmRHKydu9HE03QKY,4,Remember Me (Dúo),Miguel,Coco (Original Motion Picture Soundtrack),7nMexBA71PdwPnfqS5Yji5,164453,164453,False,61
Cuando Seas Grande,Miguel Mateos - Zas,Solos en América,2xuIhYMc9jjZDUynjd64RM,0.627,0.736,4,-6.715,1,0.0386,0.0535,3.33e-05,0.0239,0.774,144.651,25NeGSHqObqSJg79oir7pB,25NeGSHqObqSJg79oir7pB,spotify:track:25NeGSHqObqSJg79oir7pB,spotify:track:25NeGSHqObqSJg79oir7pB,https://api.spotify.com/v1/tracks/25NeGSHqObqSJg79oir7pB,4,Cuando Seas Grande,Miguel Mateos - Zas,Solos en América,2xuIhYMc9jjZDUynjd64RM,265707,265706,False,66
"Gulliver (with Natalia Lafourcade, Álex González y Sergio Vallín) - MTV Unplugged",Miguel Bosé,MTV Unplugged,4B0mVzwgm0IihR4Qzg82FO,0.453,0.74,5,-6.617,0,0.0402,0.587,0.0,0.763,0.458,176.001,3O38qNyWTWL4QOdFNJqMS2,3O38qNyWTWL4QOdFNJqMS2,spotify:track:3O38qNyWTWL4QOdFNJqMS2,spotify:track:3O38qNyWTWL4QOdFNJqMS2,https://api.spotify.com/v1/tracks/3O38qNyWTWL4QOdFNJqMS2,4,"Gulliver (with Natalia Lafourcade, Álex González y Sergio Vallín) - MTV Unplugged",Miguel Bosé,MTV Unplugged,4B0mVzwgm0IihR4Qzg82FO,257493,257493,False,49
